"347","茄萣區","2013","788971","608776","959086","484780"
"348","草屯鎮","2013","5831882","4528655","6468483","4272385"
"350","莒光鄉","2013","0","0","0","0"
"351","莿桐鄉","2013","251296","123811","186947","160660"
"352","萬丹鄉","2013","1078130","508811","810795","457242"
"353","萬巒鄉","2013","28868","81980","98653","50238"
"354","萬榮鄉","2013","0","0","0","0"
"355","萬華區","2013","24587480","16778349","29356567","38203077"
"356","萬里區","2013","528578","375772","163699","329770"
"358","蘆洲區","2013","41363991","49114912","74655297","65735376"
"359","蘆竹區","2013","38023075","47834101","88414083","47806025"
"360","蘇澳鎮","2013","908400","1252154","1516251","1297796"
"361","蘭嶼鄉","2013","0","0","0","0"
"362","虎尾鎮","2013","5213488","5534744","4053739","4286914"
"363","褒忠鄉","2013","97031","32914","86803","86265"
"364","西區","2013","25436238","34949615","36446474","32786553"
"365","西屯區","2013","76456962","67660848","85272407","76524925"
"366","西嶼鄉","2013","0","0","0","0"
"368","西港區","2013","509100","230928","244234","389079"
"369","西湖鄉","2013","0","0","0","0"
"370","西螺鎮","2013","1269104","1517963","1417869","1393170"
"371","觀音區","2013","2741494","2270138","4137786","1994370"
"374","豐原區","2013","15631613","10596031","17322245","17809770"
"375","豐濱鄉","2013","7076","6020","0","0"
"376","貢寮區","2013","26625","78893","44621","85026"
"378","路竹區","2013","1505585","2081164","2166621","1632266"
"379","車城鄉","2013","182165","72063","49796","318777"
"380","通霄鎮","2013","419792","230294","339679","511426"
"381","造橋鄉","2013","229485","51407","13560","45237"
"382","達仁鄉","2013","7766","0","0","0"
"383","那瑪夏區","2013","0","0","0","0"
"385","里港鄉","2013","444865","114632","158908","444368"
"386","金城鎮","2013","1970331","883249","2398903","618360"
"387","金寧鄉","2013","333694","749748","305177","76801"
"388","金山區","2013","460704","269874","490447","288266"
"389","金峰鄉","2013","0","0","0","0"
"390","金沙鎮","2013","127323","5","11488","20572"
"391","金湖鎮","2013","519803","178189","505982","421893"
"392","銅鑼鄉","2013","157836","154554","175745","260440"
"393","長治鄉","2013","737201","606706","877568","1190997"
"394","長濱鄉","2013","0","0","0","0"
"395","關山鎮","2013","81373","134354","295837","221266"
"396","關廟區","2013","663488","568149","507420","749672"
"397","關西鎮","2013","936262","553900","658577","367560"
"398","阿蓮區","2013","752431","537493","1242054","570880"
"399","阿里山鄉","2013","0","0","0","0"
"400","集集鎮","2013","400391","225879","328404","263065"
"401","雙溪區","2013","20877","79852","82048","147515"
"402","霧峰區","2013","2939022","2060278","2101362","1791729"
"403","霧臺鄉","2013","0","0","0","0"
"406","頭份市","2013","0","0","0","0"
"407","頭城鎮","2013","1927194","598508","1292004","2203905"
"408","頭屋鄉","2013","87108","134323","340053","65706"
"409","香山區","2013","0","0","0","0"
"410","馬公市","2013","0","0","0","0"
"411","高樹鄉","2013","56026","76807","47796","63133"
"412","魚池鄉","2013","91043","25353","215259","124580"
"413","鳥松區","2013","7557177","6110892","9918064","6602659"
"414","鳳山區","2013","52816637","53414403","62283715","44584120"
"415","鳳林鎮","2013","47148","53484","129630","17173"
"416","鶯歌區","2013","9165447","9687798","13082678","11443751"
"417","鹽埔鄉","2013","142419","162265","73133","80215"
"418","鹽埕區","2013","1188718","1044045","1317772","1491785"
"419","鹽水區","2013","398276","481572","475108","468793"
"420","鹿港鎮","2013","3009807","2039609","3209046","5576051"
"421","鹿草鄉","2013","29268","46831","43704","70920"
"422","鹿谷鄉","2013","152427","171769","77434","310902"
"423","鹿野鄉","2013","59210","20830","48046","32534"
"424","麟洛鄉","2013","128110","106746","253224","162954"
"425","麥寮鄉","2013","190508","149621","217859","634465"
"426","麻豆區","2013","1760961","2589219","2403993","1928329"
"427","鼓山區","2013","42308782","36183751","55982295","38802320"
"428","龍井區","2013","4691487","7414985","6100272","2406085"
"429","龍崎區","2013","0","0","0","0"
"430","龍潭區","2013","6187736","4835761","4565711","3174136"
"431","龜山區","2013","18315025","23534315","43022162","20712432"
"2","七堵區","2014","6000462","5355420","7528179","5355420"
"3","七美鄉","2014","0","0","0","0"
"4","七股區","2014","0","0","0","0"
"5","三地門鄉","2014","0","0","0","0"
"7","三峽區","2014","28106501","24638868","24501221","24638868"
"8","三星鄉","2014","198642","76123","168031","76123"
"9","三民區","2014","42124108","37270265","51702373","37270265"
"10","三灣鄉","2014","11096","95960","29454","95960"
"11","三義鄉","2014","194989","98096","212091","98096"
"12","三芝區","2014","1547247","1693640","2152833","1693640"
"13","三重區","2014","116479034","68878775","88333349","68878775"
"15","下營區","2014","862480","203194","875003","203194"
"17","中區","2014","558990","528723","667928","528723"
"18","中和區","2014","143669385","89171905","109505310","89171905"
"19","中埔鄉","2014","1435964","741264","1442607","741264"
"20","中壢區","2014","107110445","71715683","87616014","71715683"
"22","中寮鄉","2014","0","0","0","0"
"23","中山區","2014","97993100","57436489","68660694","57436489"
"24","中正區","2014","54664431","80084043","53694139","80084043"
"25","中西區","2014","6677002","5080515","5649626","5080515"
"27","九如鄉","2014","472679","494577","184690","494577"
"28","二崙鄉","2014","104206","263667","519984","263667"
"29","二林鎮","2014","1021981","598344","1012914","598344"
"30","二水鄉","2014","85977","93929","120440","93929"
"31","五峰鄉","2014","280","280","0","0"
"32","五結鄉","2014","10221674","3275573","3097615","3275573"
"33","五股區","2014","25829654","10311499","21771067","10311499"
"34","仁德區","2014","6659048","11716530","7120112","11716530"
"35","仁愛區","2014","1631343","2591494","2377409","2591494"
"36","仁愛鄉","2014","0","0","0","0"
"37","仁武區","2014","15489291","11774784","15446032","11774784"
"38","伸港鄉","2014","1926041","1443464","829391","1443464"
"39","佳冬鄉","2014","64826","66343","249367","66343"
"40","佳里區","2014","4166110","3724889","3655967","3724889"
"41","來義鄉","2014","0","0","0","0"
"42","信義區","2014","93332034","64895212","95944327","64895212"
"43","信義鄉","2014","0","0","0","0"
"44","元長鄉","2014","91601","6983","33765","6983"
"45","光復鄉","2014","149006","72136","143314","72136"
"46","內埔鄉","2014","991262","1376496","2624689","1376496"
"47","內湖區","2014","103377212","83185934","84298293","83185934"
"48","內門區","2014","0","0","0","0"
"50","八德區","2014","62197562","36852579","24500067","36852579"
"52","八里區","2014","16600382","7107737","10088311","7107737"
"53","公館鄉","2014","574123","430134","1849824","430134"
"54","六甲區","2014","336383","243256","196276","243256"
"55","六腳鄉","2014","66583","39325","35416","39325"
"56","六龜區","2014","0","0","0","0"
"57","冬山鄉","2014","2145602","1627286","4199507","1627286"
"59","前金區","2014","2852493","1461436","2084797","1461436"
"60","前鎮區","2014","20542926","12525206","16937018","12525206"
"62","北區","2014","78516451","53774161","56700698","53774161"
"63","北埔鄉","2014","210403","83929","98111","83929"
"64","北屯區","2014","160566480","57728772","76560976","57728772"
"65","北投區","2014","66781309","53922258","62349407","53922258"
"66","北斗鎮","2014","726781","2058102","1676490","2058102"
"67","北港鎮","2014","1413149","1268061","1827239","1268061"
"68","北竿鄉","2014","3363","3163","4000","3163"
"69","北門區","2014","12711","9049","51002","9049"
"71","卑南鄉","2014","37975","26345","0","26345"
"72","卓溪鄉","2014","0","0","0","0"
"73","卓蘭鎮","2014","167613","188761","218992","188761"
"74","南化區","2014","0","0","0","0"
"75","南區","2014","47810800","37190124","39703836","37190124"
"76","南屯區","2014","75027124","47243170","49133036","47243170"
"77","南州鄉","2014","127375","127246","112362","127246"
"78","南庄鄉","2014","14074","18751","15098","18751"
"79","南投市","2014","8323121","4365548","7069785","4365548"
"80","南港區","2014","49092282","33781847","60936295","33781847"
"81","南澳鄉","2014","4962","16574","0","0"
"82","南竿鄉","2014","8410","17925","3550","0"
"83","口湖鄉","2014","22002","13002","0","0"
"84","古坑鄉","2014","137180","93387","327695","93387"
"86","吉安鄉","2014","7715508","7195325","9092127","7195325"
"87","名間鄉","2014","431584","147944","203998","147944"
"88","后里區","2014","2702300","2292904","1697673","2292904"
"89","和平區","2014","3077","1100","1100","0"
"90","和美鎮","2014","4615710","2326319","3626004","2326319"
"92","員山鄉","2014","721913","646873","875640","646873"
"93","員林市","2014","19190883","8909905","12540309","8909905"
"94","善化區","2014","11707096","18447354","14197828","18447354"
"95","東區","2014","48611184","37895154","34807563","37895154"
"96","四湖鄉","2014","213088","241480","74374","241480"
"99","國姓鄉","2014","256772","90655","180882","90655"
"100","土城區","2014","59960829","34349374","49170921","34349374"
"101","土庫鎮","2014","1430606","657797","951914","657797"
"103","坪林區","2014","0","0","0","0"
"104","埔心鄉","2014","1450001","777191","1276814","777191"
"105","埔里鎮","2014","5383964","4072354","4835584","4072354"
"106","埔鹽鄉","2014","225563","217023","184289","217023"
"107","埤頭鄉","2014","686996","791667","527994","791667"
"109","士林區","2014","77929133","68835023","83638158","68835023"
"110","壯圍鄉","2014","117562","308488","259467","308488"
"111","壽豐鄉","2014","628011","360783","493469","360783"
"112","外埔區","2014","518351","613339","463804","613339"
"114","大內區","2014","33743","18345","20620","18345"
"115","大同區","2014","21169723","17073650","14964743","17073650"
"116","大同鄉","2014","0","0","0","0"
"117","大園區","2014","93116553","6589702","56315179","6589702"
"118","大城鄉","2014","44814","7334","21644","7334"
"119","大埔鄉","2014","19169","23264","24323","23264"
"120","大埤鄉","2014","89769","138785","219200","138785"
"121","大安區","2014","138731932","104208610","124572943","104208610"
"122","大寮區","2014","7119963","6864872","13611193","6864872"
"124","大村鄉","2014","765260","337204","386259","337204"
"125","大林鎮","2014","1027832","507728","957009","507728"
"126","大樹區","2014","568754","951120","872406","951120"
"127","大武鄉","2014","21880","11720","0","11720"
"128","大湖鄉","2014","209672","369311","219595","369311"
"129","大溪區","2014","6712024","5768339","14432901","5768339"
"131","大甲區","2014","4352050","2602288","2974155","2602288"
"132","大社區","2014","4623339","2770817","3058857","2770817"
"133","大肚區","2014","1449550","1549641","1596150","1549641"
"134","大里區","2014","17225424","19844709","21156663","19844709"
"135","大雅區","2014","5499019","7846424","15576308","7846424"
"136","太保市","2014","3083147","2149140","1938043","2149140"
"137","太平區","2014","25595732","18612507","27465002","18612507"
"138","太麻里鄉","2014","197677","76773","267429","76773"
"140","學甲區","2014","370546","572532","452339","572532"
"141","安南區","2014","25847990","16810513","18559222","16810513"
"142","安定區","2014","340705","25363","195486","25363"
"143","安平區","2014","14605294","11625615","12220959","11625615"
"144","安樂區","2014","8598140","10792739","10310299","10792739"
"145","官田區","2014","674327","360923","381464","360923"
"146","宜蘭市","2014","19543081","18278384","16117739","18278384"
"147","富里鄉","2014","96464","63632","10561","63632"
"148","寶山鄉","2014","638040","408640","473295","408640"
"149","將軍區","2014","128982","31198","55476","31198"
"151","小港區","2014","11745261","9957577","14322256","9957577"
"154","尖石鄉","2014","0","0","0","0"
"155","屏東市","2014","0","0","0","0"
"156","山上區","2014","104966","114863","83788","114863"
"157","岡山區","2014","7314744","7804592","8664746","7804592"
"158","峨眉鄉","2014","0","0","0","0"
"159","崁頂鄉","2014","13363","123765","64018","123765"
"160","崙背鄉","2014","401609","266245","305462","266245"
"161","左營區","2014","32559316","32675587","34567332","32675587"
"162","左鎮區","2014","0","0","0","0"
"163","布袋鎮","2014","136719","176313","177534","176313"
"164","平溪區","2014","6530","6530","0","0"
"165","平鎮區","2014","26694113","35132280","30296551","35132280"
"167","延平鄉","2014","2500","2500","0","0"
"168","彌陀區","2014","492528","297635","188377","297635"
"169","彰化市","2014","18246489","16732882","19671697","16732882"
"170","後壁區","2014","89193","18763","41793","18763"
"171","後龍鎮","2014","755862","771202","996838","771202"
"173","復興區","2014","0","0","0","0"
"174","恆春鎮","2014","1924545","1954321","1380865","1954321"
"175","成功鎮","2014","181293","231423","237722","231423"
"177","文山區","2014","86795343","76551068","71520597","76551068"
"178","斗六市","2014","10552276","4925431","7398545","4925431"
